"","x"
"1",0.0394492450228508
"2",0.0293252317314059
"3",0.0177473027476605
"4",0.0499102840753844
"5",0.0331802109076658
"6",0.0441068339642872
"7",0.0605100620509936
"8",0.0246216982793695
"9",0.0380246849245199
"10",0.0485993168245169
"11",0.0465218872005496
"12",0.0583104555071273
"13",0.0521354721574184
"14",0.0301622936885431
"15",0.0704781965048639
"16",0.0230640815523241
"17",0.055711906238199
"18",0.0456173955162613
"19",0.0156646896947662
"20",0.0585861650872743
"21",0.0321746017737618
"22",0.0564703401671698
"23",0.0296016369880568
"24",0.114092384585151
"25",0.0537055426094959
"26",0.0386253081180004
"27",0.0405938299551904
"28",0.0499347154303446
"29",0.0435472612436466
"30",0.039537039030251
"31",0.0465706215521256
"32",0.0217089323198177
"33",0.0598445244499569
"34",0.0317218370990342
"35",0.0181465039495659
"36",0.0607797729348103
"37",0.054474011373007
"38",0.0376119880698558
"39",0.0347072608152672
"40",0.0479940366579181
"41",0.0459991224420826
"42",0.0537809470747104
"43",0.0448668521235314
"44",0.0624311877309966
"45",0.0405672540179753
"46",0.0243569184838417
"47",0.0231873244596492
"48",0.0660777704203744
"49",0.0268873923014588
"50",0.0473802748583903
"51",0.0213527690123298
"52",0.0508761380881929
"53",0.0260164189454094
"54",0.0359067715527199
"55",0.0213130693936006
"56",0.0262312705489962
"57",0.0281556422852182
"58",0.0263308391207181
"59",0.0276723851503781
"60",0.0227874494021873
"61",0.0580060709363736
"62",0.0394593472810766
"63",0.0593063257307119
"64",0.0364867858267592
"65",0.0317529201127605
"66",0.0488042203998125
"67",0.0504015548081755
"68",0.0619920591778221
"69",0.0266921025619632
"70",0.0384006476080726
"71",0.0264221014751802
"72",0.0190100369588564
"73",0.0449306836881117
"74",0.0331149464675702
"75",0.0369458128034542
"76",0.039716592099776
"77",0.0160850972169908
"78",0.0299493134750669
"79",0.0373578541441323
"80",0.0339670262089532
"81",0.0340537436716245
"82",0.0295944208424825
"83",0.0334226405726144
"84",0.0224424874205716
"85",0.0445096091457211
"86",0.037236074756071
"87",0.059012966667865
"88",0.0342697597377316
"89",0.0513213314052114
"90",0.0420227230127407
"91",0.0165557330969485
"92",0.066519092982483
"93",0.0356791608423431
"94",0.0299146648803355
"95",0.0312659138985682
"96",0.0414694904629129
"97",0.0616279026753833
"98",0.0475579007331841
"99",0.0561506163437884
"100",0.0334372589516619
"101",0.0919945880447728
"102",0.0700589228278896
"103",0.0436464375795864
"104",0.0327443587660183
"105",0.0462187296062506
"106",0.0274356518682999
"107",0.0470559900433924
"108",0.0472561334918407
"109",0.0379523076998839
"110",0.0421702329599565
"111",0.0238791392526988
"112",0.0463873839748583
"113",0.0282509383905948
"114",0.0486252222287681
"115",0.0404104237328667
"116",0.0220104886376445
"117",0.0208691668160089
"118",0.0216445443136715
"119",0.0337119588456801
"120",0.0464968533855903
"121",0.0412920275234277
"122",0.0447167104638432
"123",0.0316797901075525
"124",0.0218043210124179
"125",0.0417854193228648
"126",0.0447087988407011
"127",0.0345462588578292
"128",0.0281699827733259
"129",0.0563336869646005
"130",0.0476585830251674
"131",0.0182446704444687
"132",0.0265556889431254
"133",0.0333980514535785
"134",0.0325605409929017
"135",0.0399811827646549
"136",0.0430127757458252
"137",0.0181193297447098
"138",0.0333651694704737
"139",0.0264946698319395
"140",0.0374918377815128
"141",0.0452246449539219
"142",0.034613049410548
"143",0.0341425420952701
"144",0.0234374503000324
"145",0.0225235680077896
"146",0.0541456685238895
"147",0.0550484263357018
"148",0.0531388441383473
"149",0.0349225011093064
"150",0.047511560221118
"151",0.0260390968005673
"152",0.0266702484457133
"153",0.0581277713840244
"154",0.0392964945317086
"155",0.0441037381663272
"156",0.0188749613841429
"157",0.0238507500294459
"158",0.0513267562340004
"159",0.02524855945878
"160",0.0338543465897586
"161",0.0591593833041923
"162",0.0222024218600751
"163",0.0635947937859155
"164",0.0326573681462785
"165",0.0276726023809047
"166",0.045538991309099
"167",0.025283232886528
"168",0.067490059859583
"169",0.0283867785589526
"170",0.021483933991859
"171",0.0284256216585382
"172",0.0772793933256538
"173",0.039402864853245
"174",0.0501387421283217
"175",0.025980789456485
"176",0.0450988776685826
"177",0.0271271707444995
"178",0.0547748877668813
"179",0.0633584905021974
"180",0.0642900722854843
"181",0.0219396589206453
"182",0.0352776978377287
"183",0.0446506102537789
"184",0.0646498702554438
"185",0.0277890351629391
"186",0.0307607154291179
"187",0.0296945970768478
"188",0.0907503731195937
"189",0.0326127201707536
"190",0.0375646871806991
"191",0.0433728038284998
"192",0.0229124896644039
"193",0.0236841450765815
"194",0.0340731919742159
"195",0.0247076728600374
"196",0.0450879701555921
"197",0.0383818195255539
"198",0.0797827697416669
"199",0.0716529851759786
"200",0.0553290430709869
"201",0.0676090888697257
"202",0.0369188868881014
"203",0.0347842385451245
"204",0.0719764453942795
"205",0.0410239079243129
"206",0.0261627381006011
"207",0.0320393728405973
"208",0.0636647876229522
"209",0.0449195295168675
"210",0.0190707430898469
"211",0.0246865528546937
"212",0.0448430401399879
"213",0.0531865838478298
"214",0.060784503587625
"215",0.0324787049917585
"216",0.024844314075672
