"","x"
"1",-0.116692999527139
"2",-0.132195683612369
"3",-0.16484887292393
"4",-0.145102534379476
"5",-0.129490976386879
"6",-0.148349254656612
"7",-0.123554090914645
"8",-0.154900185611686
"9",-0.127790992352415
"10",-0.121952136656484
"11",-0.143059994243548
"12",-0.154043427904963
"13",-0.138581264313436
"14",-0.119386150246148
"15",-0.141445845995823
"16",-0.126048961893739
"17",-0.151543669330755
"18",-0.125111558439182
"19",-0.145606821449436
"20",-0.122880657737408
