"","x"
"1",-0.00892522788419244
"2",-0.0159278002087248
"3",0.0116794289146452
"4",0.0176543011725351
"5",-0.00854960073249088
"6",-0.0465228376741269
"7",-0.011776334271118
"8",0.00647349292971775
"9",0.00748958561210864
"10",-0.00969114429598952
"11",-0.0384404338552779
"12",0.00952460747518774
"13",-0.0183902778501373
"14",-0.00947935622525916
"15",0.0124083323475906
"16",0.00412150958899528
"17",0.00939221027688168
"18",-0.00084623385921441
"19",0.00233931571979144
"20",-0.00972703459225809
"21",0.0123135813445867
"22",-0.00876879290999054
"23",0.0244664371720101
"24",0.0556111164022385
"25",-0.00911575477760639
"26",-0.00904262562711297
"27",0.0209433845615919
"28",-0.0101494587490144
"29",0.010236851718874
"30",-0.00995799148919392
"31",0.0290490414698044
"32",-0.0426363048056132
"33",0.00620342226406807
"34",0.00119510314786873
"35",-0.00795629146411266
"36",-0.00875843193687708
"37",0.00887839577636429
"38",-0.0105055966471987
"39",0.00666990438773615
"40",-0.00771420770067892
"41",0.00313765306997891
"42",-0.00634540011726255
"43",-0.00962699536171868
"44",0.00389769940943628
"45",0.00910779466474888
"46",-0.0530477915895375
"47",0.0153989774964772
"48",-0.002956153792386
"49",-0.0110254087485339
"50",-0.0217069597137995
