"time","delta","opening","opponent_exp","eval_depth","white_elo","black_elo","poi_is_white","termination","index_after_merge"
713,1,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 ",31,20,1389,1358,0,"won by resignation",176
461,1,"1. e4 e6 2. d4 d5 3. e5 c5 ",38,20,1351,1396,1,"won by resignation",657
668,1,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",24,20,1321,1358,0,"won by resignation",383
466,1,"1. e4 c5 2. f4 Nc6 3. Nf3 e6 ",6,20,1363,1366,0,"won by checkmate",193
494,0,"1. Nf3 d5 2. g3 Nc6 3. Bg2 Nf6 ",4,20,1233,1355,0,"won by resignation",707
124,1,"1. e4 c5 2. Nf3 e6 3. Bc4 a6 ",24,20,1363,1360,1,"won by checkmate",328
203,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",1,20,1355,1361,1,"won by resignation",613
584,1,"1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 ",4,20,1389,1364,0,"won by checkmate",348
319,1,"1. e4 c5 2. f4 Nc6 3. Nc3 e6 ",1,20,1403,1357,0,"won by resignation",191
471,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",45,20,1366,1384,1,"won by resignation",391
199,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",3,20,1358,1362,1,"won by resignation",614
412,1,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",27,20,1311,1349,0,"won by checkmate",279
481,2,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 ",29,20,1423,1359,0,"won by resignation",178
685,2,"1. e4 e6 2. d4 d5 3. e5 c5 ",6,20,1359,1353,1,"draw",658
192,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",1,20,1456,1520,1,"won by resignation",627
878,2,"1. g3 Nf6 2. Bg2 g6 3. d3 Bg7 ",7,20,1426,1473,0,"won by resignation",701
393,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",2,20,1456,1476,1,"won by resignation",572
58,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",15,20,1472,1440,1,"won by resignation",415
265,0,"1. d4 d5 2. Bf4 c5 3. c3 Nc6 ",7,20,1508,1458,0,"won by resignation",23
702,2,"1. d4 d5 2. c4 e5 3. dxe5 d4 ",2,20,1436,1472,0,"won by resignation",67
230,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",5,20,1366,1336,1,"won by resignation",615
471,0,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",17,20,1374,1373,1,"won by resignation",592
428,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",1,20,1383,1394,1,"won by resignation",399
356,0,"1. c4 Nf6 2. d4 d5 3. Nc3 e6 ",3,20,1394,1375,0,"won by resignation",14
485,0,"1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 ",9,20,1371,1367,0,"won by resignation",216
396,0,"1. e4 c5 2. Be2 d5 3. exd5 Qxd5 ",1,20,1396,1359,0,"won by resignation",151
470,0,"1. c4 Nf6 2. d4 d5 3. cxd5 Nxd5 ",3,20,1376,1351,0,"won by resignation",13
413,1,"1. e4 c6 2. d4 d5 3. e5 c5 ",9,20,1341,1288,1,"won by resignation",447
520,0,"1. e4 c5 2. Nf3 d6 3. Bc4 Nc6 ",1,20,1379,1334,0,"won by resignation",242
137,0,"1. d4 d5 2. a3 Nc6 3. b4 Bf5 ",19,20,1226,1251,0,"unknown end",20
8,2,"1. e3 d5 2. Be2 e5 3. Nf3 Nc6 ",1,20,1243,1281,1,"won by resignation",112
21,2,"1. d4 d5 2. c4 e5 3. Nc3 dxc4 ",1,20,1335,1237,0,"won by resignation",75
337,0,"1. e4 d5 2. exd5 c6 3. dxc6 Nxc6 ",2,20,1342,1337,1,"won by resignation",461
